time	V(v0)	V(n001)
1.110479029289605e-01	-3.661076e+00	1.529663e+00
1.112432154289605e-01	-3.660924e+00	1.760215e+00
1.114385279289605e-01	-3.660772e+00	1.964292e+00
1.116338404289605e-01	-3.660619e+00	2.138823e+00
1.118291529289605e-01	-3.660467e+00	2.281185e+00
1.120244654289605e-01	-3.660315e+00	2.389235e+00
1.122197779289605e-01	-3.660163e+00	2.461350e+00
1.124150904289605e-01	-3.660011e+00	2.496443e+00
1.126104029289605e-01	-3.659859e+00	2.493988e+00
1.128057154289605e-01	-3.659707e+00	2.454020e+00
1.130010279289605e-01	-3.659555e+00	2.377142e+00
1.131963404289605e-01	-3.659403e+00	2.264509e+00
1.133916529289605e-01	-3.659251e+00	2.117816e+00
1.135869654289605e-01	-3.659099e+00	1.939269e+00
1.137822779289605e-01	-3.658947e+00	1.731554e+00
1.139775904289605e-01	-3.658794e+00	1.497795e+00
1.141729029289605e-01	-3.658643e+00	1.241507e+00
1.143682154289605e-01	-3.658490e+00	9.665458e-01
1.145635279289605e-01	-3.658338e+00	6.770470e-01
1.147588404289605e-01	-3.658186e+00	3.773647e-01
1.149541529289605e-01	-3.658034e+00	7.200645e-02
1.151494654289605e-01	-3.657882e+00	-2.344348e-01
1.153447779289605e-01	-3.657730e+00	-5.373499e-01
1.155400904289605e-01	-3.657578e+00	-8.321828e-01
1.157354029289605e-01	-3.657426e+00	-1.114499e+00
1.159307154289605e-01	-3.657274e+00	-1.380052e+00
1.161260279289605e-01	-3.657122e+00	-1.624848e+00
1.163213404289605e-01	-3.656971e+00	-1.845204e+00
1.165166529289605e-01	-3.656818e+00	-2.037807e+00
1.167119654289605e-01	-3.656667e+00	-2.199759e+00
1.169072779289606e-01	-3.656522e+00	-2.328625e+00
1.171025904289606e-01	-3.656636e+00	-2.422467e+00
1.172979029289606e-01	-3.658756e+00	-2.479872e+00
1.174932154289606e-01	-3.663607e+00	-2.499977e+00
1.176474782877567e-01	-3.667041e+00	-2.489275e+00
1.178427907877568e-01	-3.668613e+00	-2.442237e+00
1.180381032877568e-01	-3.668685e+00	-2.358466e+00
1.182334157877568e-01	-3.668541e+00	-2.239222e+00
1.184287282877568e-01	-3.668389e+00	-2.086297e+00
1.186240407877568e-01	-3.668236e+00	-1.901993e+00
1.188193532877568e-01	-3.668084e+00	-1.689081e+00
1.190146657877568e-01	-3.667931e+00	-1.450764e+00
1.192099782877568e-01	-3.667779e+00	-1.190626e+00
1.194052907877568e-01	-3.667626e+00	-9.125792e-01
1.196006032877568e-01	-3.667474e+00	-6.208068e-01
1.197959157877568e-01	-3.667322e+00	-3.196969e-01
1.199912282877568e-01	-3.667169e+00	-1.377850e-02
1.201865407877568e-01	-3.667017e+00	2.923472e-01
1.203818532877568e-01	-3.666864e+00	5.940756e-01
1.205771657877568e-01	-3.666712e+00	8.868687e-01
1.207724782877568e-01	-3.666560e+00	1.166322e+00
1.209677907877568e-01	-3.666407e+00	1.428234e+00
1.211631032877568e-01	-3.666255e+00	1.668663e+00
1.213584157877568e-01	-3.666103e+00	1.883994e+00
1.215537282877568e-01	-3.665950e+00	2.070987e+00
1.217490407877568e-01	-3.665798e+00	2.226832e+00
1.219443532877568e-01	-3.665646e+00	2.349183e+00
1.221396657877568e-01	-3.665493e+00	2.436199e+00
1.223349782877568e-01	-3.665341e+00	2.486573e+00
1.225302907877568e-01	-3.665189e+00	2.499547e+00
