time	V(vo)	V(Vgs)	Ig
5.247175000149514e-03	-3.180388e-03	4.972713e-03	8.333445e-04
5.266706250149513e-03	-3.162620e-03	4.945907e-03	8.333362e-04
5.286237500149513e-03	-3.097173e-03	4.844686e-03	8.333055e-04
5.305768750149513e-03	-2.985036e-03	4.670571e-03	8.332529e-04
5.325300000149512e-03	-2.827899e-03	4.426182e-03	8.331791e-04
5.344831250149512e-03	-2.628134e-03	4.115194e-03	8.330853e-04
5.364362500149511e-03	-2.388753e-03	3.742284e-03	8.329728e-04
5.383893750149511e-03	-2.113366e-03	3.313062e-03	8.328435e-04
5.403425000149511e-03	-1.806125e-03	2.833984e-03	8.326991e-04
5.422956250149510e-03	-1.471661e-03	2.312255e-03	8.325420e-04
5.452253125149509e-03	-9.300359e-04	1.467004e-03	8.322875e-04
5.481550000149509e-03	-3.568972e-04	5.721282e-04	8.320182e-04
5.491315625149509e-03	-1.603512e-04	2.651487e-04	8.319258e-04
5.501081250149508e-03	3.498227e-05	-3.998430e-05	8.318340e-04
5.510846875149508e-03	2.291033e-04	-3.432709e-04	8.317428e-04
5.520612500149508e-03	4.220117e-04	-6.447112e-04	8.316521e-04
5.530378125149508e-03	6.137077e-04	-9.443051e-04	8.315620e-04
5.540143750149508e-03	8.041913e-04	-1.242053e-03	8.314725e-04
5.549909375149507e-03	9.934623e-04	-1.537954e-03	8.313836e-04
5.579206250149507e-03	1.530702e-03	-2.378140e-03	8.311311e-04
5.598737500149506e-03	1.861244e-03	-2.895304e-03	8.309757e-04
5.618268750149506e-03	2.163850e-03	-3.368945e-03	8.308335e-04
5.637800000149506e-03	2.433979e-03	-3.791939e-03	8.307065e-04
5.657331250149505e-03	2.667576e-03	-4.157924e-03	8.305967e-04
5.676862500149505e-03	2.861137e-03	-4.461395e-03	8.305057e-04
5.696393750149504e-03	3.011759e-03	-4.697786e-03	8.304348e-04
5.715925000149504e-03	3.117184e-03	-4.863544e-03	8.303852e-04
5.735456250149503e-03	3.175830e-03	-4.956174e-03	8.303576e-04
5.754987500149503e-03	3.186818e-03	-4.974284e-03	8.303524e-04
5.774518750149503e-03	3.149985e-03	-4.917601e-03	8.303696e-04
5.794050000149502e-03	3.065881e-03	-4.786978e-03	8.304091e-04
5.813581250149502e-03	2.935767e-03	-4.584378e-03	8.304702e-04
5.833112500149501e-03	2.761596e-03	-4.312851e-03	8.305520e-04
5.852643750149501e-03	2.545978e-03	-3.976478e-03	8.306532e-04
5.872175000149501e-03	2.292148e-03	-3.580321e-03	8.307724e-04
5.891706250149500e-03	2.003915e-03	-3.130338e-03	8.309079e-04
5.911237500149500e-03	1.685604e-03	-2.633296e-03	8.310574e-04
5.930768750149499e-03	1.341994e-03	-2.096671e-03	8.312188e-04
5.960065625149499e-03	7.905172e-04	-1.235307e-03	8.314780e-04
5.989362500149498e-03	2.124127e-04	-3.322594e-04	8.317496e-04
5.997733035863783e-03	4.391864e-05	-6.904369e-05	8.318288e-04
6.006103571578069e-03	-1.235414e-04	1.925629e-04	8.319075e-04
6.014474107292354e-03	-2.899675e-04	4.525603e-04	8.319857e-04
6.022844643006640e-03	-4.553595e-04	7.109485e-04	8.320634e-04
6.031215178720926e-03	-6.197175e-04	9.677277e-04	8.321407e-04
6.039585714435212e-03	-7.830415e-04	1.222898e-03	8.322174e-04
6.047956250149497e-03	-9.453314e-04	1.476459e-03	8.322937e-04
6.077253125149496e-03	-1.485837e-03	2.321014e-03	8.325477e-04
6.096784375149496e-03	-1.819287e-03	2.842112e-03	8.327045e-04
6.116315625149495e-03	-2.125315e-03	3.320438e-03	8.328483e-04
6.135846875149495e-03	-2.399309e-03	3.748797e-03	8.329771e-04
6.155378125149494e-03	-2.637139e-03	4.120745e-03	8.330889e-04
6.174909375149494e-03	-2.835218e-03	4.430688e-03	8.331821e-04
6.194440625149494e-03	-2.990559e-03	4.673966e-03	8.332551e-04
6.213971875149493e-03	-3.100818e-03	4.846917e-03	8.333070e-04
6.233503125149493e-03	-3.164331e-03	4.946941e-03	8.333369e-04
6.253034375149492e-03	-3.180141e-03	4.972534e-03	8.333444e-04
6.272565625149492e-03	-3.148008e-03	4.923310e-03	8.333293e-04
6.292096875149492e-03	-3.068418e-03	4.800010e-03	8.332920e-04
6.311628125149491e-03	-2.942572e-03	4.604490e-03	8.332329e-04
6.331159375149491e-03	-2.772368e-03	4.339688e-03	8.331530e-04
6.350690625149490e-03	-2.560373e-03	4.009588e-03	8.330534e-04
6.370221875149490e-03	-2.309786e-03	3.619156e-03	8.329357e-04
6.389753125149489e-03	-2.024384e-03	3.174263e-03	8.328016e-04
6.409284375149489e-03	-1.708470e-03	2.681601e-03	8.326533e-04
6.428815625149489e-03	-1.366804e-03	2.148581e-03	8.324927e-04
6.458112500149488e-03	-8.173673e-04	1.291052e-03	8.322346e-04
6.487409375149487e-03	-2.402289e-04	3.898443e-04	8.319633e-04
6.497175000149487e-03	-4.323009e-05	8.212769e-05	8.318708e-04
6.506940625149487e-03	1.521201e-04	-2.230607e-04	8.317790e-04
6.516706250149487e-03	3.458217e-04	-5.257210e-04	8.316880e-04
6.526471875149487e-03	5.378747e-04	-8.258531e-04	8.315977e-04
6.536237500149486e-03	7.282791e-04	-1.123457e-03	8.315083e-04
6.546003125149486e-03	9.170348e-04	-1.418533e-03	8.314195e-04
6.555768750149486e-03	1.104142e-03	-1.711080e-03	8.313316e-04
6.575300000149486e-03	1.461624e-03	-2.270155e-03	8.311635e-04
6.594831250149485e-03	1.797170e-03	-2.795110e-03	8.310059e-04
6.614362500149485e-03	2.105742e-03	-3.278048e-03	8.308608e-04
6.633893750149484e-03	2.382706e-03	-3.711706e-03	8.307306e-04
6.653425000149484e-03	2.623908e-03	-4.089562e-03	8.306172e-04
6.672956250149483e-03	2.825729e-03	-4.405931e-03	8.305223e-04
6.692487500149483e-03	2.985141e-03	-4.656056e-03	8.304474e-04
6.712018750149483e-03	3.099754e-03	-4.836175e-03	8.303934e-04
6.731550000149482e-03	3.167849e-03	-4.943578e-03	8.303614e-04
6.751081250149482e-03	3.188405e-03	-4.976650e-03	8.303517e-04
6.770612500149481e-03	3.161114e-03	-4.934893e-03	8.303644e-04
6.790143750149481e-03	3.086386e-03	-4.818935e-03	8.303995e-04
6.809675000149481e-03	2.965340e-03	-4.630521e-03	8.304563e-04
6.829206250149480e-03	2.799792e-03	-4.372485e-03	8.305340e-04
